# key|url|label
bug|https://img.game8.co/4435970/7e99a8ec47e0b293f94d7be155004e37.png/show|Bug (Grimoire)
diane|https://img.game8.co/4436119/a73568fe88aa732ab1c8966e69dfbe26.png/show|Diane (Axe)
drake|https://img.game8.co/4436236/74099845e9444420de01baa07b7f0260.png/show|Drake (Greatsword)
dredrin|https://img.game8.co/4435987/1d7396c0dc132a83ca4de940ff4c7295.png/show|Dredrin (Rapier)
elaine|https://img.game8.co/4436250/6e7c94b463cea517a238a34337298925.png/show|Elaine (Staff)
gilthunder|https://img.game8.co/4435894/00be685fa5917204210476571f2ac45e.png/show|Gilthunder (Longsword)
guila|https://img.game8.co/4436199/75c570457502e88b9f5c6c759b23d878.png/show|Guila (Sword and Shield)
hendrickson|https://img.game8.co/4435959/dc9bc071b4162aa3257d221b213010ae.png/show|Hendrickson (Longsword)
howzer|https://img.game8.co/4435868/7c49aacc5864eb5cc3f780a2bcd41366.png/show|Howzer (Gauntlets)
jericho|https://img.game8.co/4436183/1e9afbcfb4a1ed0f4033f40bcbd52b51.png/show|Jericho (Dual Swords)
king|https://img.game8.co/4436154/ea78f12ebcd0fc9c4ce21b1cf156fa8a.png/show|King (Staff)
mannie|https://img.game8.co/4436144/250fd69fae598340cccd2037fff754a9.png/show|Mannie (Staff)
meliodas|https://img.game8.co/4435495/f4207c8813f039aa2b0dc8e021df6923.png/show|Meliodas (Axe)
slater|https://img.game8.co/4440424/a305bfb0037631b788643216cdb98675.png/show|Slater (Greatsword)
tioreh|https://img.game8.co/4435850/7a966a929cc695c20177ee6b21e58b85.png/show|Tioreh (Staff)
tristan|https://img.game8.co/4435838/62e5030dd47ceee328312518fd0ba73d.png/show|Tristan (Longsword)
